Year,Month,Day,Site,Plot,Observer,SurveyType,TransectLevel,TransectLength.m,TransectWidth.m,TimeStart,TimeEnd,10mSection,ShoreDirection,HorizViz(m),VertViz(m),Depth.ft,Depth.m,Substrate1,Substrate2,KelpCover,Habitat,Species,Sex,Size.mm,Size.cm,Count,Behaviour,AbaloneCover,AbaloneSubstrate,Notes
2017,Sep,8,Murchison NW,1,SJ,b.fish,deep,30,2,15:10,15:17,,,1.5,2.5,38,,BRl,MB,NKC,UB,CB juv,,,6,4,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,deep,30,2,15:10,15:17,,,1.5,2.5,38,,BRl,MB,NKC,UB,Embiotoca,,,15,1,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,deep,30,2,15:10,15:17,,,1.5,2.5,38,,BRl,MB,NKC,UB,H. decagrammus,M,,25,1,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,deep,30,2,15:10,15:17,,,1.5,2.5,38,,BRl,MB,NKC,UB,S. caurinus,,,15,2,,,,
2017,Sep,8,Murchison NW,1,SJ,m.fish,deep,30,2,15:25,15:24,,,1.5,2.5,38,,BRl,MB,NKC,UB,,,,,0,,,,NO FISH
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,C. nicholsi,,,12,3,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,Oxylebius,,,12,3,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,H. decagrammus,M,,18,1,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. caurinus,,,18,1,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. caurinus,,,15,2,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. caurinus,,,10,2,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. caurinus,,,5,1,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. maliger,,,8,3,,,,
2017,Sep,8,Murchison NW,1,SJ,b.fish,mid,30,2,18:03,18:12,,,2.5,3.5,23,,BRl,SB,NKC,UB,S. maliger,,,6,1,,,,
2017,Sep,8,Murchison NW,1,SJ,m.fish,mid,30,2,18:12,18:18,,,2.5,3.5,23,,BRl,SB,NKC,UB,YB juv,,,5,35,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. flavidus,,,12,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. melanops,,,28,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,Oxylebius,,,12,2,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,H. decagrammus,M,,25,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,H. decagrammus,M,,35,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. caurinus,,,15,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. caurinus,,,4,2,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. caurinus,,,5,1,,,,
2017,Sep,9,Murchison NE,1,SJ,b.fish,deep,30,2,11:19,11:27,,,2.5,3,25,,LB,MB,NKC,UB,S. caurinus,,,25,1,,,,
