date_processed,collection_site,collection_time,kelpline_depth,5-10m_distance_depth,deep_depth_ft,date_collected,processed_by,slope_distance_m,species,urch_no,tissue_vial_no,field_depth_ft,width_mm,height_mm,total_mass_g,cracked_mass_g,gonad_mass_g,roe_color,roe_character,viscera_mass_g,stomach_contents,notes
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,1,D-198,8,119,64,629,476,45.1,dark orange,partially spawned,15.9,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,2,D-199,8,117,64,614,427,27.5,dark orange,spawned out,10.4,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,3,D-200,8,113,47,475,383,38.2,orange,partially spawned,14.1,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,4,E-201,8,103,42,431,321,32.5,orange,partially spawned,11.2,"kelp, Spirorbids",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,5,E-202,8,117,61,671,484,42.7,dark orange,partially spawned,14.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,6,E-203,8,126,58,717,NaN,48.6,dark yellow,partially spawned,16.2,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,7,E-204,8,127,63,788,568,54.7,dark orange,partially spawned,16.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,8,E-205,8,118,66,776,598,40.7,dark yellow,partially spawned,17.7,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,9,E-206,8,116,55,689,NaN,63.8,light orange,full,16.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,10,E-207,8,129,64,998,799,48.5,dark orange,partially spawned,20,"kelp, shell hash, Phyllospadix",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,11,NaN,8,121,62,672,554,39.3,dark yellow,partially spawned,16.4,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,12,NaN,8,121,58,536,503,81.8,orange,partially spawned,14.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,13,NaN,8,127,58,890,647,49,light orange,partially spawned,15.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,14,NaN,8,132,65,791,701,82.4,orange,full,20.3,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,15,NaN,8,130,72,729,553,45,light orange,partially spawned,14.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,16,NaN,8,115,53,578,477,40.1,dark orange,partially spawned,12.1,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,17,NaN,8,121,61,767,647,47.2,orange,partially spawned,15.4,"kelp, Ulva",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,18,NaN,8,115,49,682,541,52.6,light orange,full,14.6,"kelp, Ulva",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,19,NaN,8,109,50,538,422,33.3,orange,partially spawned,12.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,20,NaN,8,109,49,561,495,64.6,light orange,partially spawned,13.4,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,21,NaN,8,60,27,89,75,3.9,yellow,partially spawned,3.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,22,NaN,8,62,30,98,84,7.5,light yellow,partially spawned,3.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,23,NaN,8,63,32,101,96,10,light yellow,full,3.2,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,24,NaN,8,50,20,45,41,1.8,light yellow,partially spawned,1.4,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,25,NaN,8,60,27,102,92,9.5,yellow,full,2.4,"kelp, articulated coralline algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,26,NaN,8,61,32,115,92,3.6,yellow,spawned out,4.3,"kelp, Phyllospadix",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,27,NaN,8,59,25,74,67,3.9,light yellow,partially spawned,2.8,"kelp, Phyllospadix, articulated coralline algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,28,NaN,8,63,29,97,70,5,light yellow,partially spawned,2.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,29,NaN,8,41,18,31,30,0.5,light yellow,spawned out,1.3,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,30,NaN,8,65,29,113,95,9.3,yellow,partially spawned,3.7,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,31,NaN,8,65,30,112,89,5,yellow,partially spawned,3.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,32,NaN,8,54,25,64,52,3.6,light yellow,spawned out,2.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,33,NaN,8,63,35,118,100,9.6,dark yellow,partially spawned,3.8,"kelp, green algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,34,NaN,8,59,28,86,78,7.3,yellow,partially spawned,2.4,"kelp, green algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,35,NaN,8,61,28,91,77,5.8,light yellow,partially spawned,2.8,"kelp, green algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,36,NaN,8,89,46,237,207,26.5,yellow,full,7.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,37,NaN,8,60,29,81,76,5.8,yellow,spawned out,3.4,"kelp, green algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,38,NaN,8,69,30,101,89,10,yellow,partially spawned,3.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,39,NaN,8,65,28,105,98,9.7,light yellow,partially spawned,3.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,40,NaN,8,57,29,73,62,4.5,yellow,partially spawned,2.5,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,41,E-208,8,57,29,63,50,3,dark orange,spawned out,2.1,"kelp, green algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,42,E-209,8,45,24,32,30,1.2,dark orange,partially spawned,1.3,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,43,E-210,8,48,24,38,34,2.7,dark orange,partially spawned,1.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,44,E-211,8,46,25,29,27,1.6,orange,partially spawned,0.9,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,45,E-212,8,42,23,27,24,2,light orange,partially spawned,0.7,"kelp, articulated coralline algae",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,46,E-213,8,40,22,23,20,1.5,orange,partially spawned,0.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,47,E-214,8,41,20,26,22,1.5,yellow,partially spawned,3,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,48,E-215,8,35,12,18,15,1.3,orange,partially spawned,0.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,49,E-216,8,38,19,25,20,1.3,yellow,partially spawned,0.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus droebachiensis,50,E-217,8,39,19,27,21,3,light yellow,full,0.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,51,NaN,12,135,77,1165,766,15.9,"black (""totes nast"")",spawned out,16.2,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,52,NaN,12,115,52,697,515,45,dark orange,partially spawned,13.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,53,NaN,12,118,56,770,505,29.1,dark orange,partially spawned,10.6,"kelp, sand",
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,54,NaN,12,119,63,902,609,27.6,dark brown red,spawned out,11.6,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,56,NaN,12,121,48,815,700,75.8,orange,partially spawned,15,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,57,NaN,12,110,54,545,419,32.7,dark yellow,partially spawned,3.4,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,58,NaN,12,115,60,565,390,17.5,dark orange,spawned out,9,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,59,NaN,12,114,58,635,447,37.9,dark orange,partially spawned,9.8,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,60,NaN,12,110,59,677,495,29.1,dark orange,partially spawned,12.1,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,61,NaN,12,117,56,595,436,38.6,dark yellow,partially spawned,12.7,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,62,NaN,12,121,64,747,597,42.8,orange,partially spawned,12.3,kelp,
7/26/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,63,NaN,12,108,59,565,473,20,dark orange,spawned out,5.7,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,64,NaN,12,115,52,615,523,66.6,orange,full,11.7,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,65,NaN,12,122,60,622,497,33.6,light brown,partially spawned,9,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,66,NaN,12,140,68,1171,810,32.6,dark brown,spawned out,18.9,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,67,NaN,12,114,56,421,564,26.6,orange,partially spawned,1.6,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,68,NaN,12,116,57,567,429,21.9,light orange,partially spawned,11.7,"kelp, sand",
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,69,NaN,12,110,50,532,449,27.4,light orange,partially spawned,10.9,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,70,NaN,12,114,51,599,449,38.9,light yellow,partially spawned,10.7,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,71,NaN,12,64,31,104,87,6.6,yellow,partially spawned,2.2,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,72,NaN,12,61,21,73,65,2.7,yellow,partially spawned,2.2,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,73,NaN,12,50,26,53,43,3.9,yellow,partially spawned,1.5,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,74,NaN,12,57,24,66,58,1.8,yellow,partially spawned,2,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,75,NaN,12,53,25,57,50,3.3,yellow,partially spawned,2,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,76,NaN,12,64,29,98,79,6.5,light yellow,partially spawned,2.8,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,77,NaN,12,63,32,113,97,5.6,yellow,partially spawned,2.5,kelp,
7/28/18,Murchison NE,17:23-18:39,8,12,35,7/25/18,"Emily Adamciezyk, Nathan Spindel",50,Strongylocentrotus franciscanus,78,NaN,12,57,25,75,60,3.2,light yellow,partially spawned,2.5,kelp,
